id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
182,DMPP-1 e,204,4.13 Earths,7.98,2019
183,DMPP-2 b,450,0.437 Jupiters,8.57,2019
184,DMPP-3 A b,148,2.58 Earths,9.066,2019
185,DP Leonis b,997,6.28 Jupiters,18.6837,2009
186,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
187,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
188,EPIC 201238110 b,520,4.16 Earths,16.014,2019
189,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
190,EPIC 201497682 b,825,0.26 Earths,13.948,2019
191,EPIC 201595106 b,757,2.24 Earths,11.746,2021
192,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
193,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
194,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
195,EPIC 201833600 c,840,0.972 Earths,14.705,2019
196,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
197,EPIC 205950854 c,796,2.27 Earths,12.365,2019
198,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
199,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
200,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
201,EPIC 206032309 b,526,1.01 Earths,17.89,2019
202,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
203,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
204,EPIC 206215704 b,358,0.972 Earths,17.83,2019
205,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
206,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
207,EPIC 211822797 b,607,4.35 Earths,15.133,2016
208,EPIC 211945201 b,593,27 Earths,10.154,2018
209,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
210,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
211,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
212,EPIC 212499991 b,924,3.19 Earths,13.672,2019
213,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
214,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
215,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
216,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
217,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
218,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
219,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
220,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
221,EPIC 220674823 b,798,8.21 Earths,12.101,2016
222,EPIC 220674823 c,798,8.9 Earths,12.101,2016
223,EPIC 228836835 b,490,1.37 Earths,16.77,2021
224,EPIC 229004835 b,398,10.4 Earths,10.23,2023
225,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
226,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
227,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
228,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
229,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
230,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
231,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
232,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
233,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
234,FU Tauri b,435,16 Jupiters,,2008
235,G 264-012 b,52,2.5 Earths,13.078,2021
236,G 264-012 c,52,3.75 Earths,13.078,2021
237,G 9-40 b,91,11.7 Earths,13.821,2019
238,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
239,Gaia-2 b,683,0.817 Jupiters,11.277,2022
240,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
241,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
242,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
243,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
244,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
245,GJ 1002 b,16,1.08 Earths,13.76,2022
246,GJ 1002 c,16,1.36 Earths,13.76,2022
247,GJ 1061 b,12,1.37 Earths,12.7,2020
248,GJ 1061 c,12,1.74 Earths,12.7,2020
249,GJ 1061 d,12,1.64 Earths,12.7,2020
